Adress,City,Price,Lot size (m2),Living space size (m2),Build year,Build type,House type,Roof,Rooms,Toilet,Floors,Energy label,Position,Garden,Estimated neighbourhood price per m2
Egelpad 2,Zeewolde,€ 425.000,251 m²,119 m²,1993,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Schilddak bedekt met bitumineuze dakbedekking en pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,Aan rustige weg en in woonwijk,"Achtertuin, voortuin, zijtuin en zonneterras",4.970
Terrastraat 26,Oudorp,€ 495.000,180 m²,141 m²,1974,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer,3 woonlagen,C,"Aan water, in woonwijk en vrij uitzicht",Achtertuin en voortuin,
Graszode 20,Eindhoven,€ 489.000,134 m²,129 m²,2005,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,"Aan rustige weg, in woonwijk en vrij uitzicht",Achtertuin en voortuin,5.835
Blijdestein 8,Ede,€ 339.500,155 m²,128 m²,1970,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak bedekt met bitumineuze dakbedekking,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,2.530
Baanstraat 16,Beverwijk,€ 379.000,95 m²,113 m²,1925,Bestaande bouw,"Eengezinswoning, eindwoning",Zadeldak bedekt met pannen,3 kamers (1 slaapkamer),1 badkamer en 1 apart toilet,2 woonlagen,G,In centrum en in woonwijk,Plaats,2.665
Sloetstraat 20,Zutphen,€ 339.000,159 m²,117 m²,1932,Bestaande bouw,"Eengezinswoning, tussenwoning",Dwarskap bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 2 aparte toiletten,"2 woonlagen, een zolder en een kelder",E,Aan rustige weg en in woonwijk,Achtertuin en voortuin,940
Eikelenbergstraat 53,Alkmaar,€ 400.000,115 m²,111 m²,1918,Bestaande bouw,"Eengezinswoning, eindwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,E,,Achtertuin,1.685
Dille 24,Nijverdal,€ 375.000,253 m²,120 m²,1983,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,C,In woonwijk,Achtertuin en voortuin,2.515
Harpdreef 36,Etten-Leur,€ 349.000,165 m²,140 m²,1979,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.655
Beethovengaarde 90,Oss,€ 400.000,243 m²,130 m²,1976,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Plat dak,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,915
Plantsoenstraat 5,Malden,€ 375.000,298 m²,102 m²,1961,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,"2 woonlagen, een zolder en een kelder",E,"Aan rustige weg, in woonwijk en vrij uitzicht","Achtertuin, voortuin en zijtuin",3.350
Verfmolen 7,Heerhugowaard,€ 575.000,220 m²,126 m²,1985,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,"Aan rustige weg, aan water en in woonwijk","Achtertuin, voortuin en zijtuin",2.755
Bredeweg 316,Roermond,€ 289.500,179 m²,110 m²,1977,Bestaande bouw,"Eengezinswoning, halfvrijstaande woning",Zadeldak bedekt met bitumineuze dakbedekking en pannen,8 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,D,In centrum,Achtertuin en voortuin,4.290
Volgerweg 78,Zuidoostbeemster,€ 2.250.000,13.220 m²,286 m²,1971,Bestaande bouw,"Landhuis, vrijstaande woning",Samengesteld dak bedekt met bitumineuze dakbedekking en riet,7 kamers (5 slaapkamers),2 badkamers en 2 aparte toiletten,"2 woonlagen, een vliering en een kelder",D,Landelijk gelegen en vrij uitzicht,Tuin rondom,€ 4.869
Klaproosstraat 1,Sint-Oedenrode,€ 525.000,416 m²,177 m²,1993,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.400
Piacenzastraat 18,Vught,€ 697.500,397 m²,179 m²,1974,Bestaande bouw,"Eengezinswoning, halfvrijstaande woning",Zadeldak bedekt met pannen,7 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,"Aan rustige weg, beschutte ligging en in woonwijk",Achtertuin en voortuin,3.180
Vaartweg 2,Smilde,€ 395.000,985 m²,143 m²,1952,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,6 kamers (3 slaapkamers),1 badkamer,2 woonlagen en een vliering,F,"Aan rustige weg, aan vaarwater, aan water, landelijk gelegen en open ligging","Achtertuin, tuin rondom, voortuin en zijtuin",310
Pieter Verweijweg 20,Hoek van Holland,€ 325.000,144 m²,95 m²,1995,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,"Aan park, aan rustige weg en in woonwijk",Achtertuin en voortuin,7.905
Diependalstraat 2,Arnhem,€ 700.000,690 m²,157 m²,1957,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen en een kelder,E,"Aan rustige weg, in bosrijke omgeving en vrij uitzicht","Achtertuin, voortuin en zijtuin",1.500
Tarwestraat 1,Putten,€ 499.000,195 m²,114 m²,1983,Bestaande bouw,"Eengezinswoning, eindwoning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,"Aan rustige weg, in woonwijk en open ligging",Achtertuin en voortuin,3.400
Hoofdstraat 25 B,Hooghalen,€ 650.000,1.836 m²,184 m²,1978,Bestaande bouw,"Bungalow, vrijstaande woning",Zadeldak bedekt met riet,5 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,"2 woonlagen, een vliering en een kelder",C,"Aan bosrand, beschutte ligging, in bosrijke omgeving, in centrum en landelijk gelegen",Tuin rondom,835
Volgerweg 78,Zuidoostbeemster,€ 2.250.000,13.220 m²,286 m²,1971,Bestaande bouw,"Landhuis, vrijstaande woning",Samengesteld dak bedekt met riet,7 kamers (5 slaapkamers),2 badkamers en 1 apart toilet,"2 woonlagen, een vliering en een kelder",D,Landelijk gelegen en vrij uitzicht,Tuin rondom,€ 4.869
Otto van Asperenstraat 4,Hoef en Haag,€ 469.000,134 m²,128 m²,2019,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,In woonwijk,Achtertuin,
Rotstuinlaan 19,Vleuten,€ 500.000,104 m²,115 m²,2012,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met bitumineuze dakbedekking en pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,5.035
Spaarnrijkstraat 21,Haarlem,€ 750.000,134 m²,127 m²,1931,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.010
Ottersveen 105,Spijkenisse,€ 310.000,158 m²,121 m²,1974,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,D,Aan rustige weg en in woonwijk,Achtertuin en voortuin,470
De Wiersse 41,Almelo,€ 199.000,135 m²,95 m²,1977,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,C,,Achtertuin,3.170
Turfhoofd 21,Oudenbosch,€ 335.000,98 m²,140 m²,2009,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,In woonwijk,Achtertuin,4.230
Debussystraat 32,Zevenaar,€ 275.000,165 m²,117 m²,1970,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin,4.215
Donkeregaarde 55,Nieuwegein,€ 450.000,145 m²,121 m²,1977,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,D,Aan rustige weg en in woonwijk,Achtertuin en voortuin,€ 3.425
Molenberg 25,Reusel,€ 569.000,335 m²,153 m²,2005,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Tentdak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,B,Aan rustige weg en in centrum,Achtertuin en voortuin,7.130
Trompstraat 48,Haarlem,€ 549.500,140 m²,98 m²,1939,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,G,In woonwijk,Achtertuin en voortuin,2.560
Mariënhagen 28,Rotterdam,€ 600.000,198 m²,140 m²,2018,Bestaande bouw,"Herenhuis, 2-onder-1-kapwoning",Zadeldak bedekt met bitumineuze dakbedekking en pannen,4 kamers (3 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,A,"Aan rustige weg, aan water, beschutte ligging en in woonwijk",Achtertuin en voortuin,28.875
Johannes Vermeerstraat 11,Raamsdonksveer,€ 498.000,183 m²,165 m²,2009,Bestaande bouw,"Eengezinswoning, halfvrijstaande woning",Zadeldak bedekt met pannen,7 kamers (5 slaapkamers),1 badkamer,4 woonlagen,A,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin",6.515
Roekenbos 19,Hoofddorp,€ 375.000,128 m²,87 m²,1986,Bestaande bouw,"Eengezinswoning, tussenwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,B,"Aan rustige weg, in woonwijk en vrij uitzicht",Achtertuin en voortuin,4.820
Geerteveld 32,Koog aan de Zaan,€ 375.000,152 m²,100 m²,1976,Bestaande bouw,"Eengezinswoning, geschakelde woning",Plat dak bedekt met bitumineuze dakbedekking,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,C,,Achtertuin en voortuin,6.440
Lindelaan 2,Krommenie,€ 350.000,165 m²,71 m²,1928,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een vliering,G,"Aan park, aan rustige weg en in woonwijk","Achtertuin, voortuin en zijtuin",2.045
Ovidiusstraat 12,Sittard,€ 500.000,364 m²,149 m²,2002,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Plat dak bedekt met bitumineuze dakbedekking,6 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,5.615
Uranusstraat 20,Haarlem,€ 550.000,134 m²,104 m²,1936,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,G,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.805
Zwanenveld 3752,Nijmegen,€ 375.000,172 m²,128 m²,1975,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,4.685
Zwanenveld 3752,Nijmegen,€ 375.000,172 m²,128 m²,1975,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,4.685
Prunuslaan 63,Amstelveen,€ 550.000,150 m²,120 m²,1958,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,3.490
Rijenpad 17,Almere,€ 310.000,150 m²,100 m²,1983,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak bedekt met bitumineuze dakbedekking,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,10.380
Ligusterweg 5,Wijchen,€ 565.000,260 m²,136 m²,2000,Bestaande bouw,"Eengezinswoning, geschakelde woning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,A,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin",995
Essenerweg 39,Kootwijkerbroek,€ 839.000,873 m²,179 m²,2002,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Schilddak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,Vrij uitzicht,Tuin rondom,1.665
Zwanenzijde 4,Leiden,€ 500.000,153 m²,118 m²,1975,Bestaande bouw,"Eengezinswoning, verspringend (drive-in woning)",Lessenaardak bedekt met asbest,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,C,In woonwijk en vrij uitzicht,Achtertuin,2.455
Goudsberg 6,Amersfoort,€ 445.000,133 m²,93 m²,2002,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,In woonwijk,Achtertuin en voortuin,€ 3.418
Vlierbes 12,Borne,€ 515.000,232 m²,109 m²,2021,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Schilddak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A+++,In woonwijk,Achtertuin en voortuin,
Nassaupark 28,Baarle-Nassau,€ 435.000,145 m²,154 m²,2017,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,Aan rustige weg,Achtertuin en voortuin,€ 3.032
1e Lunarelaan 37,Capelle aan den IJssel,€ 500.000,125 m²,128 m²,2008,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer,3 woonlagen,A,In woonwijk,Achtertuin en voortuin,1.245
Korhoenlaan 70,Heemstede,€ 425.000,156 m²,94 m²,1966,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.325
Brinklaan 16 B,Bussum,€ 520.000,120 m²,128 m²,1904,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Mansarde dak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,C,In centrum,Achtertuin en zijtuin,775
Hittekamp 15,Leersum,€ 450.000,219 m²,111 m²,1971,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,C,"Aan rustige weg, in bosrijke omgeving en in woonwijk","Achtertuin, voortuin en zijtuin",€ 4.141
Nereusburg 33,Nieuwegein,€ 375.000,143 m²,113 m²,1987,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg,Achtertuin en voortuin,€ 3.570
Stoofkade 7,Gouda,€ 1.195.000,1.880 m²,186 m²,2006,Bestaande bouw,"Villa, vrijstaande woning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een vliering,B,"Aan rustige weg, aan vaarwater, aan water, buiten bebouwde kom, open ligging en vrij uitzicht",Tuin rondom,235
Aztekenstraat 52,Purmerend,€ 545.000,177 m²,144 m²,2001,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak bedekt met bitumineuze dakbedekking,6 kamers (5 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,4.625
Peel 8 b,Dronten,€ 300.000,333 m²,103 m²,1985,Bestaande bouw,"Eengezinswoning, geschakelde woning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.270
Nagelhoutstraat 8,Holten,€ 237.000,200 m²,99 m²,1974,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,7 kamers (3 slaapkamers),1 badkamer,3 woonlagen,C,,Achtertuin en voortuin,1.760
Corversbos 170,Hoofddorp,€ 425.000,140 m²,101 m²,1984,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,"Aan rustige weg, in woonwijk en vrij uitzicht",Achtertuin en voortuin,4.820
