Adress,City,Price,Lot size (m2),Living space size (m2),Build year,Build type,House type,Roof,Rooms,Toilet,Floors,Energy label,Position,Garden,Estimated neighbourhood price per m2
Schoenerstraat 22,Nieuw-Lekkerland,€ 298.000,157 m²,106 m²,1963,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,2.890
Carolinenstraat 11,Stramproy,€ 297.000,278 m²,103 m²,1983,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,6 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,B,"Aan rustige weg, in bosrijke omgeving en in woonwijk",Achtertuin en voortuin,4.450
Lavendelhof 23,Oosterhout (NB),€ 349.000,170 m²,132 m²,1974,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.865
Dorpsstraat 11,IJzendoorn,€ 399.000,305 m²,117 m²,1951,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,,"Achtertuin, voortuin en zijtuin",860
Groenstraat 52,Roosendaal,€ 305.000,163 m²,115 m²,1913,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak bedekt met kunststof,4 kamers (3 slaapkamers),1 badkamer en 2 aparte toiletten,2 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin,1.485
Kinselmeer 24,Zaandam,€ 375.000,101 m²,128 m²,1971,Bestaande bouw,"Eengezinswoning, tussenwoning",Dwarskap bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,D,In woonwijk en open ligging,"Achtertuin, voortuin en zonneterras",6.190
Leeghwaterstraat 10,Uitgeest,€ 445.000,169 m²,140 m²,1970,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,3.700
de Olieslager 6,Heeze,€ 435.000,182 m²,121 m²,1995,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,9.180
Staverdense beek 4,Biddinghuizen,€ 575.000,541 m²,151 m²,2005,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,7 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,A,Aan rustige weg en in woonwijk,Tuin rondom,1.185
Boslaan 75,Dronten,€ 965.000,1.596 m²,281 m²,1996,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Samengesteld dak bedekt met pannen,8 kamers (6 slaapkamers),2 badkamers en 1 apart toilet,3 woonlagen en een kelder,B,"Aan rustige weg, aan water, in bosrijke omgeving, in woonwijk en vrij uitzicht",Tuin rondom,615
Noordstraat 60,Bodegraven,€ 825.000,458 m²,296 m²,2005,Bestaande bouw,"Villa, vrijstaande woning",Tentdak bedekt met pannen,7 kamers (6 slaapkamers),2 badkamers en 2 aparte toiletten,3 woonlagen,B,"Aan rustige weg, in centrum en in woonwijk","Achtertuin, voortuin en zijtuin",
Oldenzaalsestraat 139,Enschede,€ 500.000,169 m²,171 m²,2009,Bestaande bouw,"Eengezinswoning, geschakelde woning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen en een zolder,A,"Aan drukke weg, in centrum en in woonwijk",Achtertuin en voortuin,1.740
Kasteel Daelenbroeckstraat 20,Roermond,€ 265.000,302 m²,127 m²,1972,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,D,Aan rustige weg en in woonwijk,Achtertuin,1.935
van Galenstraat 2,Borne,€ 335.000,549 m²,98 m²,1932,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,4 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een vliering,G,In woonwijk,Achtertuin en voortuin,2.035
Kwartelstraat 23,Leeuwarden,€ 235.000,118 m²,100 m²,1930,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,D,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.505
Vrijburgstraat 40,Vlissingen,€ 589.000,940 m²,161 m²,1937,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen en een zolder,C,Aan rustige weg,Tuin rondom,1.785
Groninger Meeuwlaan 81,Barneveld,€ 399.000,129 m²,133 m²,2010,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,A,In woonwijk,Achtertuin en voortuin,4.065
Duinrugstraat 43,Almere,€ 825.000,199 m²,182 m²,2017,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak bedekt met bitumineuze dakbedekking,4 kamers (3 slaapkamers),1 badkamer en 2 aparte toiletten,2 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.655
Karekietstraat 28,Velp (GE),€ 598.000,430 m²,147 m²,1974,Bestaande bouw,"Bungalow, geschakelde woning",Zadeldak bedekt met bitumineuze dakbedekking en pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een vliering,D,"Aan rustige weg, beschutte ligging en in woonwijk",Achtertuin en voortuin,3.420
Rijksweg 94,Limmen,€ 450.000,243 m²,90 m²,1928,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een vliering,D,"Aan drukke weg, in centrum en vrij uitzicht",Achtertuin en voortuin,2.670
Strausslaan 3,Oss,€ 699.000,532 m²,210 m²,1988,Bestaande bouw,"Bungalow, vrijstaande woning (semi-bungalow)",Zadeldak bedekt met pannen,7 kamers (5 slaapkamers),2 badkamers en 1 apart toilet,3 woonlagen,C,,Achtertuin en voortuin,655
Eendjespoortstraat 14,Haarlem,€ 425.000,67 m²,77 m²,1902,Bestaande bouw,"Eengezinswoning, hoekwoning",Mansarde dak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een vliering,G,"Aan rustige weg, in centrum en in woonwijk",Achtertuin en zijtuin,1.320
Torenbergerhout 8,Harderwijk,€ 495.000,232 m²,130 m²,2009,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met bitumineuze dakbedekking en pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,In woonwijk,Achtertuin en voortuin,2.345
Munnikenweg 125,Beverwijk,€ 300.000,127 m²,88 m²,1930,Bestaande bouw,"Eengezinswoning, hoekwoning",Mansarde dak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,F,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.060
Echtenstraat 102,Assen,€ 235.000,178 m²,88 m²,1964,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,C,,Achtertuin,1.675
Maarschalkstraat 8,Mijdrecht,€ 475.000,243 m²,125 m²,1963,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,3.595
Kraaijenbergstraat 32,Hattem,€ 320.000,237 m²,73 m²,1953,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,D,In woonwijk,Achtertuin en voortuin,2.940
Raanhuisstraat 14,Oosterbeek,€ 695.000,222 m²,142 m²,2016,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,8 kamers (5 slaapkamers),1 badkamer,2 woonlagen en een zolder,A,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zonneterras",1.680
Drontermeer 17,Purmerend,€ 385.000,129 m²,100 m²,1989,Bestaande bouw,"Eengezinswoning, tussenwoning",Dwarskap bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin",5.175
