Adress,City,Price,Lot size (m2),Living space size (m2),Build year,Build type,House type,Roof,Rooms,Toilet,Floors,Eenergy label,Position,Garden,Estimated neighbourhood price per m2
Granietstraat 57,Oss,€ 365.000,169 m²,132 m²,1979,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,775
Oldenkottebrink 11,Enschede,€ 269.000,270 m²,102 m²,1968,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,B,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin",4.415
Witkopeend 5,Uithoorn,€ 450.000,174 m²,121 m²,1994,Bestaande bouw,"Eengezinswoning, hoekwoning (kwadrant woning)",Plat dak,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,In woonwijk,Voortuin en zijtuin,5.695
Stationsweg 26 D,Oosterbeek,€ 1.295.000,1.115 m²,205 m²,1995,Bestaande bouw,"Villa, vrijstaande woning",Zadeldak bedekt met pannen,7 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,In bosrijke omgeving en in woonwijk,Tuin rondom en zonneterras,1.190
Smaragd 6,Mijdrecht,€ 795.000,649 m²,197 m²,1978,Bestaande bouw,"Eengezinswoning, geschakelde woning",Samengesteld dak bedekt met pannen,7 kamers (6 slaapkamers),2 badkamers en 1 apart toilet,3 woonlagen,B,"Aan rustige weg, aan water, beschutte ligging en in woonwijk",Achtertuin,3.575
Driek van Erpstraat 21,Oss,€ 385.000,312 m²,104 m²,1965,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,In woonwijk,Achtertuin en voortuin,3.270
Arkelse Onderweg 76,Gorinchem,€ 385.000,662 m²,79 m²,1871,Bestaande bouw,"Eengezinswoning, vrijstaande woning (dijkwoning)",Zadeldak bedekt met pannen,4 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,G,Aan rustige weg en in woonwijk,Zijtuin,2.805
Scholeksterweide 22,Renswoude,€ 350.000,91 m²,94 m²,2016,Bestaande bouw,"Eengezinswoning, tussenwoning",Dwarskap bedekt met pannen,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,A,Aan rustige weg en in woonwijk,Voortuin,2.020
Arkelse Onderweg 76,Gorinchem,€ 385.000,662 m²,79 m²,1871,Bestaande bouw,"Eengezinswoning, vrijstaande woning (dijkwoning)",Zadeldak bedekt met pannen,4 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,G,Aan rustige weg en in woonwijk,Zijtuin,2.805
Scholeksterweide 22,Renswoude,€ 350.000,91 m²,94 m²,2016,Bestaande bouw,"Eengezinswoning, tussenwoning",Dwarskap bedekt met pannen,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,A,Aan rustige weg en in woonwijk,Voortuin,2.020
