Address,City,Price,Lot size (m2),Living space size (m2),Build year,Build type,House type,Roof,Rooms,Toilet,Floors,Energy label,Position,Garden,Estimated neighbourhood price per m2
Uiterwaard 4,Lopik,€ 375.000,126 m²,116 m²,2000,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,5.530
Gedempte Schalk Burgergracht 73,Haarlem,€ 450.000,129 m²,107 m²,1910,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak bedekt met bitumineuze dakbedekking,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,F,"Aan rustige weg, in centrum en in woonwijk",Achtertuin en voortuin,2.615
Waadse Poldergracht 49,Muiden,€ 1.050.000,180 m²,207 m²,2019,Bestaande bouw,"Herenhuis, tussenwoning",Plat dak,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,"Aan rustige weg, aan vaarwater, aan water en in woonwijk",Achtertuin,1.455
Streepvaren 4,Bergschenhoek,€ 525.000,202 m²,127 m²,1996,Bestaande bouw,"Bungalow, tussenwoning (semi-bungalow)",Plat dak bedekt met bitumineuze dakbedekking,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,A,In woonwijk en vrij uitzicht,Achtertuin en voortuin,2.250
F.A. Molijnlaan 27,Nunspeet,€ 695.000,582 m²,148 m²,1930,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Tentdak bedekt met pannen,8 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,E,Beschutte ligging en in bosrijke omgeving,"Achtertuin, tuin rondom, voortuin en zijtuin",9.095
Geerstraat 16,Winssen,€ 550.000,1.169 m²,273 m²,1928,Bestaande bouw,"Woonboerderij, vrijstaande woning",Mansarde dak bedekt met pannen,6 kamers (4 slaapkamers),3 badkamers en 1 apart toilet,"2 woonlagen, een vliering en een kelder",E,"Landelijk gelegen, open ligging en vrij uitzicht",Tuin rondom,350
Joan Muyskenweg 18 B,Amsterdam,€ 625.011,126 m²,84 m²,1989,Bestaande bouw,"Woonboot, vrijstaande woning",Plat dak bedekt met bitumineuze dakbedekking,3 kamers (1 slaapkamer),1 badkamer,1 woonlaag en een kelder,C,"Aan vaarwater, aan water en vrij uitzicht",Zonneterras,5.085
Singel 25,Jubbega,€ 565.000,2.800 m²,121 m²,1930,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met bitumineuze dakbedekking en pannen,4 kamers (3 slaapkamers),1 badkamer,2 woonlagen,G,In bosrijke omgeving en landelijk gelegen,Achtertuin en voortuin,
Hooiweg 25,Etten-Leur,€ 625.000,363 m²,131 m²,1991,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,C,Aan rustige weg en in woonwijk,"Achtertuin, tuin rondom en voortuin",610
Gustav Mahlerstraat 3,Utrecht,€ 650.000,123 m²,120 m²,1934,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,D,Aan rustige weg en in woonwijk,Achtertuin en voortuin,4.360
Weergang 3,Waardenburg,€ 389.000,270 m²,109 m²,1997,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.805
Zijpenberg 95,Amersfoort,€ 595.000,160 m²,153 m²,2009,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Lessenaardak,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,€ 3.537
Aalscholver 18,Terneuzen,€ 449.000,244 m²,146 m²,2006,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,In woonwijk,Achtertuin en voortuin,3.800
Ravelijn 8,Vijfhuizen,€ 500.000,159 m²,130 m²,2002,Bestaande bouw,"Eengezinswoning, eindwoning",Dwarskap bedekt met metaal,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,A,"Aan rustige weg, beschutte ligging en in woonwijk",Achtertuin en voortuin,1.830
Hortensia 13,Dirksland,€ 585.000,425 m²,152 m²,2005,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen,B,Aan rustige weg,Tuin rondom,1.775
Ekris 35,Woudenberg,€ 350.000,163 m²,100 m²,1963,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,E,,Achtertuin en voortuin,2.255
Noorderdiep 45,Stadskanaal,€ 495.000,6.558 m²,123 m²,1859,Bestaande bouw,"Woonboerderij, vrijstaande woning",Zadeldak bedekt met pannen,4 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,1 woonlaag,D,"Aan rustige weg, landelijk gelegen en vrij uitzicht",Tuin rondom,900
Voorstraat 5,Tzum,€ 240.000,231 m²,128 m²,1935,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Dwarskap bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,E,In centrum,Achtertuin,885
Verdiweg 9,Eelde,€ 335.000,212 m²,122 m²,1973,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,"Aan rustige weg, in woonwijk en vrij uitzicht",Achtertuin en voortuin,6.750
Amaliastraat 27,Utrecht,€ 615.000,77 m²,115 m²,1910,Bestaande bouw,"Eengezinswoning, tussenwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,In woonwijk,Achtertuin,9.240
Crocuslaan 12,Waalre,€ 579.000,378 m²,182 m²,1967,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,8 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,"Aan rustige weg, in bosrijke omgeving, in woonwijk, open ligging en vrij uitzicht","Achtertuin, voortuin, zijtuin en zonneterras",2.760
Grote Sloot 369,Schagerbrug,€ 650.000,805 m²,124 m²,1951,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,3 kamers (2 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen,D,"Aan rustige weg, beschutte ligging en vrij uitzicht","Achtertuin, voortuin en zonneterras",1.555
G.H.Hoijtinkstraat 101,Alkmaar,€ 485.000,198 m²,127 m²,1990,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,"Aan rustige weg, in woonwijk en vrij uitzicht",Achtertuin en voortuin,2.505
Liendertseweg 44,Amersfoort,€ 565.000,385 m²,104 m²,1936,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,€ 4.024
Langebuorren 50,Hallum,€ 350.000,511 m²,251 m²,1880,Bestaande bouw,"Herenhuis, vrijstaande woning",Zadeldak bedekt met bitumineuze dakbedekking en pannen,7 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,F,In centrum en in woonwijk,"Achtertuin, voortuin en zijtuin",2.300
Oude Haagweg 347,Den Haag,€ 620.000,282 m²,152 m²,1925,Bestaande bouw,"Eengezinswoning, hoekwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,7 kamers (6 slaapkamers),2 badkamers,3 woonlagen,F,Aan bosrand en vrij uitzicht,Achtertuin en voortuin,3.190
Blauwe Zegge 4,Den Haag,€ 935.000,291 m²,172 m²,2008,Bestaande bouw,"Herenhuis, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,7 kamers (5 slaapkamers),2 badkamers en 1 apart toilet,3 woonlagen,A,,"Achtertuin, voortuin en zijtuin",5.835
Laarstraat 50 -50a,Zutphen,€ 500.000,272 m²,202 m²,1937,Bestaande bouw,"Eengezinswoning, tussenwoning",Dwarskap bedekt met pannen,3 kamers (1 slaapkamer),1 badkamer en 2 aparte toiletten,2 woonlagen en een zolder,D,In centrum,,1.755
Havikskruid 16,Nijverdal,€ 675.000,869 m²,194 m²,1994,Bestaande bouw,"Bungalow, vrijstaande woning (semi-bungalow)",Zadeldak bedekt met pannen,8 kamers (6 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen en een zolder,B,Beschutte ligging en in woonwijk,Tuin rondom,1.740
Gerstkamp 12,Hoevelaken,€ 749.000,464 m²,138 m²,1987,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,"Aan rustige weg, in centrum en in woonwijk","Achtertuin, voortuin en zijtuin",1.480
De Wherelanden 212,Purmerend,€ 600.000,131 m²,162 m²,2019,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,A,Aan rustige weg en in woonwijk,"Achtertuin, voortuin, zijtuin en zonneterras",5.715
Rozendaalseheide 36,Montfort,€ 635.000,2.395 m²,220 m²,1981,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,8 kamers (6 slaapkamers),1 badkamer en 2 aparte toiletten,"2 woonlagen, een zolder en een kelder",D,"Aan bosrand, aan rustige weg, in bosrijke omgeving en landelijk gelegen",Tuin rondom,2.850
Polderkade 24,Oss,€ 525.000,387 m²,144 m²,1992,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.360
Zeestraat 91,Noordwijkerhout,€ 895.000,441 m²,161 m²,1930,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),2 badkamers en 2 aparte toiletten,2 woonlagen,C,Aan rustige weg,Achtertuin en voortuin,€ 3.674
Groenendael 69,IJsselmuiden,€ 297.500,228 m²,130 m²,1978,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,D,"Aan rustige weg, in woonwijk en vrij uitzicht","Achtertuin, voortuin en zijtuin",3.920
Prins Hendrikweg 48,Putten,€ 675.000,534 m²,139 m²,1975,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,2 woonlagen en een zolder,F,"Aan rustige weg, in bosrijke omgeving en in woonwijk",Tuin rondom,6.280
Hooghuizenweg 22,Huizen,€ 675.000,310 m²,118 m²,1931,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Schilddak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen en een kelder,G,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin",2.460
Bosschendijk 113,Oudenbosch,€ 1.350.000,2.680 m²,438 m²,2005,Bestaande bouw,"Villa, vrijstaande woning",Samengesteld dak bedekt met pannen,4 kamers (3 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen,B,In woonwijk,Tuin rondom,2.025
Wierdestraat 8,Amsterdam,€ 550.000,129 m²,114 m²,1964,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin,6.225
Jan Bootlaan 15,Den Haag,€ 525.000,149 m²,128 m²,2005,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen en een vliering,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,5.460
Witte Baan 12,Prinsenbeek,€ 419.000,265 m²,123 m²,1969,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met bitumineuze dakbedekking,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,B,,Achtertuin en voortuin,11.035
Hegedyk 21,Wier,€ 339.500,366 m²,190 m²,1984,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,6 kamers (3 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen en een zolder,C,Vrij uitzicht,Tuin rondom,205
Amsteldijk Noord 33 -B,Amstelveen,€ 1.800.000,380 m²,194 m²,1934,Bestaande bouw,"Herenhuis, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),2 badkamers en 1 apart toilet,4 woonlagen,B,Aan vaarwater,Achtertuin en voortuin,445
Het Wargaren 24,Lith,€ 525.000,880 m²,150 m²,2003,Bestaande bouw,"Eengezinswoning, vrijstaande woning (bedrijfs- of dienstwoning)",Samengesteld dak bedekt met overig,4 kamers (2 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen en een zolder,C,,Achtertuin en voortuin,3.020
Hillen acker 51,Heemskerk,€ 525.000,241 m²,139 m²,2003,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,"Aan rustige weg, in woonwijk en vrij uitzicht","Achtertuin, voortuin en zijtuin",2.765
Oranje Nassaustraat 6,Meerssen,€ 354.000,270 m²,132 m²,1961,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Plat dak bedekt met bitumineuze dakbedekking,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een kelder,F,Aan rustige weg en in woonwijk,Tuin rondom,5.595
Vondellaan 17,Geleen,€ 400.000,387 m²,125 m²,1950,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,"2 woonlagen, een vliering en een kelder",C,Aan rustige weg en in woonwijk,Achtertuin,4.895
Beemdweide 14,Reeuwijk,€ 650.000,258 m²,155 m²,2009,Bestaande bouw,"Eengezinswoning, geschakelde woning",Plat dak bedekt met bitumineuze dakbedekking,4 kamers (3 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen,A,"Aan rustige weg, aan vaarwater en in woonwijk",Achtertuin en voortuin,€ 4.227
Beeldsnijderpad 6,Zwaag,€ 375.000,140 m²,110 m²,2016,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,Aan water en in woonwijk,Achtertuin en voortuin,1.000
Op den Berg 5,Maashees,€ 850.000,1.927 m²,239 m²,2005,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Schilddak bedekt met pannen,3 kamers (3 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen,B,"Aan bosrand, aan rustige weg, aan vaarwater, aan water, in bosrijke omgeving en vrij uitzicht",Tuin rondom,175
De Hooghlaan 7,Bilthoven,€ 2.950.000,4.440 m²,341 m²,1952,Bestaande bouw,"Villa, vrijstaande woning",Zadeldak bedekt met pannen,12 kamers (5 slaapkamers),3 badkamers en 1 apart toilet,3 woonlagen en een kelder,C,,Tuin rondom,2.230
Hovenlaan 126,Dordrecht,€ 750.000,298 m²,178 m²,2006,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Schilddak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,A,In woonwijk en vrij uitzicht,Achtertuin en voortuin,1.285
Koningsweg 11,Geldermalsen,€ 429.000,245 m²,135 m²,1971,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,D,In woonwijk,Achtertuin en voortuin,3.025
Molenstraat 26,Westdorpe,€ 350.000,393 m²,138 m²,1928,Bestaande bouw,"Eengezinswoning, halfvrijstaande woning",Mansarde dak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen en een kelder,G,In woonwijk en vrij uitzicht,Achtertuin en zijtuin,1.850
Fluitekruid 83,Klazienaveen,€ 475.000,639 m²,168 m²,1992,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Samengesteld dak bedekt met leisteen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een vliering,C,"Aan rustige weg, in woonwijk en vrij uitzicht","Achtertuin, voortuin, zijtuin en zonneterras",
Groenling 10,Soest,€ 895.000,460 m²,163 m²,1992,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen,E,In woonwijk,"Achtertuin, tuin rondom, voortuin en zijtuin",505
Duinbosstraat 50,Almere,€ 795.000,156 m²,178 m²,2017,Bestaande bouw,"Eengezinswoning, eindwoning",Plat dak bedekt met bitumineuze dakbedekking,6 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen en een kelder,A,"Aan bosrand, aan rustige weg, aan water, in bosrijke omgeving, in woonwijk en vrij uitzicht","Achtertuin, voortuin en zonneterras",1.655
Tuilland 17,Doorn,€ 390.000,234 m²,85 m²,1956,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,E,"Aan rustige weg, in bosrijke omgeving en in woonwijk","Achtertuin, voortuin en zijtuin",1.325
Minervasingel 9,Almere,€ 475.000,136 m²,131 m²,2013,Bestaande bouw,"Herenhuis, hoekwoning",Plat dak bedekt met bitumineuze dakbedekking,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A+,"Aan rustige weg, aan water, in bosrijke omgeving en in woonwijk",Achtertuin,7.270
Looveen 14,Wijster,€ 750.000,5.679 m²,234 m²,1940,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen en riet,10 kamers (6 slaapkamers),1 badkamer,3 woonlagen,C,"Aan rustige weg, buiten bebouwde kom, landelijk gelegen en vrij uitzicht","Achtertuin, tuin rondom en voortuin",310
Dr. Schaepmanstraat 61,Nijmegen,€ 400.000,120 m²,100 m²,1994,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,In woonwijk,Achtertuin en voortuin,6.155
Paardenstraat 13,Vlissingen,€ 449.500,120 m²,141 m²,1952,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),2 badkamers en 2 aparte toiletten,3 woonlagen,C,In woonwijk,Achtertuin,3.860
Westerweg 2,Limmen,€ 470.000,177 m²,110 m²,1972,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,F,Beschutte ligging en in bosrijke omgeving,Voortuin en zijtuin,2.700
Harderwijkpad 19,Emmeloord,€ 398.000,418 m²,108 m²,1987,Bestaande bouw,"Bungalow, vrijstaande woning (semi-bungalow)",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,1 woonlaag en een zolder,C,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin",3.280
Baambrugse Zuwe 163 b,Vinkeveen,€ 2.495.000,2.012 m²,250 m²,1955,Bestaande bouw,"Villa, vrijstaande woning",Samengesteld dak bedekt met overig,5 kamers (2 slaapkamers),1 badkamer en 2 aparte toiletten,2 woonlagen en een vliering,D,"Aan rustige weg, aan vaarwater, aan water, beschutte ligging en vrij uitzicht",Tuin rondom en zonneterras,1.670
Zonnebloemstraat 35,Wateringen,€ 775.000,406 m²,197 m²,2003,Bestaande bouw,"Herenhuis, geschakelde woning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,6 kamers (3 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,A,"Aan rustige weg, aan water, beschutte ligging en in woonwijk",Achtertuin en voortuin,3.065
Vriesdongen 26,Breda,€ 940.000,276 m²,222 m²,1961,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,7 kamers (6 slaapkamers),2 badkamers en 2 aparte toiletten,3 woonlagen,D,Beschutte ligging en in woonwijk,Achtertuin en voortuin,5.735
Begijnenakker 4,Prinsenbeek,€ 525.000,261 m²,128 m²,1974,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,11.035
Dusseldorperweg 130,Limmen,€ 400.000,238 m²,91 m²,1953,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,2.100
Dingostraat 1,Nijmegen,€ 525.000,278 m²,138 m²,1968,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 2 aparte toiletten,"2 woonlagen, een zolder en een kelder",F,"Aan rustige weg, in woonwijk en vrij uitzicht",Achtertuin en voortuin,4.815
Niersstraat 20,Gennep,€ 500.000,160 m²,304 m²,1875,Bestaande bouw,"Herenhuis, tussenwoning",Schilddak bedekt met pannen,7 kamers (2 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,C,In centrum,,585
De Clercqstraat 117,Haarlem,€ 450.000,124 m²,91 m²,1890,Bestaande bouw,"Eengezinswoning, tussenwoning",Samengesteld dak,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een vliering,D,Aan rustige weg en in woonwijk,Achtertuin,2.670
Brabantstraat 3,Herpen,€ 429.000,298 m²,137 m²,1980,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin",2.380
Boekenstein 54,Heiloo,€ 400.000,164 m²,113 m²,1978,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,B,Beschutte ligging en in woonwijk,"Achtertuin, voortuin en zijtuin",2.400
Oosterhoutlaan 38,Amstelveen,€ 995.000,176 m²,153 m²,1935,Bestaande bouw,"Herenhuis, tussenwoning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),2 badkamers en 2 aparte toiletten,3 woonlagen,E,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zonneterras",3.735
Landweg 2,Bergen (NH),€ 2.350.000,1.925 m²,178 m²,1917,Bestaande bouw,"Villa, vrijstaande woning",Zadeldak bedekt met riet,7 kamers (5 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,D,"Beschutte ligging, in bosrijke omgeving en in woonwijk",Tuin rondom,270
Heiakker 4,Prinsenbeek,€ 439.000,217 m²,125 m²,1974,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met bitumineuze dakbedekking en pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,,Achtertuin en voortuin,11.035
Beatrixpark 61,Etten-Leur,€ 689.000,458 m²,194 m²,1990,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,Aan rustige weg en in woonwijk,Tuin rondom,5.140
Pastoor Jansenstraat 8,Weesp,€ 485.000,79 m²,97 m²,1926,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,E,In centrum en in woonwijk,Achtertuin,965
Hindeloopenkade 80,Amersfoort,€ 565.000,142 m²,159 m²,2005,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,"Aan rustige weg, aan vaarwater, in woonwijk en vrij uitzicht",Achtertuin,€ 3.536
Prins Hendrikkade 12,Woerden,€ 425.000,80 m²,80 m²,1910,Bestaande bouw,"Herenhuis, hoekwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,C,"Aan vaarwater, aan water, in centrum en vrij uitzicht",Achtertuin,2.640
Belleboom 14,Roermond,€ 485.000,448 m²,163 m²,1972,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,7 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,4 woonlagen,D,Aan rustige weg en in woonwijk,"Achtertuin, tuin rondom, voortuin en zijtuin",1.945
Piet Paaltjensstraat 9,Almere,€ 425.000,250 m²,137 m²,2001,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met bitumineuze dakbedekking,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,In woonwijk,Achtertuin en voortuin,9.765
Fabrieksstraat 56,Warmenhuizen,€ 625.000,1.360 m²,112 m²,1939,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,6 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,"2 woonlagen, een zolder en een kelder",D,"Aan rustige weg, aan water en vrij uitzicht","Achtertuin, tuin rondom, voortuin en zijtuin",1.200
Westerkerkweg 97,Venhuizen,€ 350.000,237 m²,122 m²,1938,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Mansarde dak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een vliering,F,In woonwijk,"Achtertuin, voortuin en zijtuin",2.700
Jan van Scorelstraat 12,Zaandam,€ 430.000,133 m²,122 m²,1988,Bestaande bouw,"Eengezinswoning, tussenwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,"Aan rustige weg, beschutte ligging en in woonwijk",Achtertuin en voortuin,3.055
Divonalaan 41,Hillegom,€ 375.000,152 m²,74 m²,1964,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,,Achtertuin,1.170
