Address,City,Price,Lot size (m2),Living space size (m2),Build year,Build type,House type,Roof,Rooms,Toilet,Floors,Energy label,Position,Garden,Estimated neighbourhood price per m2
Twijnstraat 29,Ede,€ 325.000,110 m²,73 m²,1935,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 2 aparte toiletten,2 woonlagen en een zolder,E,Aan rustige weg en in woonwijk,Achtertuin,4.020
Caligastraat 6,Huissen,€ 385.000,130 m²,115 m²,2016,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,"Aan rustige weg, beschutte ligging en in woonwijk",Achtertuin en voortuin,3.225
Van Galenlaan 2,Woudenberg,€ 500.000,244 m²,121 m²,1968,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,,Achtertuin en voortuin,2.090
Mensinkweg 105,Nijverdal,€ 325.000,333 m²,201 m²,1961,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,7 kamers (5 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen en een zolder,F,In woonwijk,Achtertuin en voortuin,1.310
Prins Bernhardstraat 61,Silvolde,€ 469.000,678 m²,182 m²,1920,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,6 kamers (3 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen,E,In woonwijk,"Achtertuin, voortuin en zijtuin",4.680
Willem Landrépad 8,Amersfoort,€ 419.000,127 m²,110 m²,1984,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.645
Overflakkee 5,Emmeloord,€ 349.000,330 m²,117 m²,1999,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,4.925
Jan Sluiterstraat 40,Volendam,€ 650.000,303 m²,149 m²,1980,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Dwarskap bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,D,Aan water en in woonwijk,"Achtertuin, voortuin en zijtuin",2.185
Vaalmanstraat 39,Westervoort,€ 399.000,420 m²,108 m²,1954,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,E,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin",5.935
Kampvelderweg 46,Ermelo,€ 695.000,562 m²,178 m²,1973,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,7 kamers (6 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,D,"Aan rustige weg, in bosrijke omgeving en in woonwijk",Tuin rondom,10.650
Kralingseweg 2,Capelle aan den IJssel,€ 1.200.000,993 m²,237 m²,1980,Bestaande bouw,"Villa, vrijstaande woning",Zadeldak bedekt met leisteen,5 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen,C,"Aan drukke weg, aan water, in woonwijk en vrij uitzicht","Achtertuin, voortuin en zijtuin",745
Moeder Theresastraat 8,Veenendaal,€ 795.000,310 m²,185 m²,2006,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,8 kamers (7 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,2.515
Paulus Potterstraat 2,Hardinxveld-Giessendam,€ 369.000,230 m²,106 m²,1964,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,6 kamers (3 slaapkamers),1 badkamer,3 woonlagen,C,In woonwijk,Achtertuin en voortuin,€ 3.069
Hendrik Smeltweg 17,Enschede,€ 250.000,245 m²,117 m²,1958,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen en een vliering,C,In woonwijk,Achtertuin,3.715
Veerstraat 6,Dreumel,€ 750.000,2.465 m²,180 m²,1994,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Samengesteld dak bedekt met pannen,8 kamers (6 slaapkamers),2 badkamers en 1 apart toilet,3 woonlagen,B,"Aan rustige weg, landelijk gelegen en vrij uitzicht","Achtertuin, tuin rondom en voortuin",885
Boterpolderlaan 48,Raamsdonksveer,€ 319.000,173 m²,95 m²,1950,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,In centrum en in woonwijk,Achtertuin,6.515
Albert van Dalsumlaan 11,Vlissingen,€ 639.000,734 m²,162 m²,1992,Bestaande bouw,"Bungalow, vrijstaande woning (patiowoning)",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,4 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,1 woonlaag,B,Aan rustige weg en in woonwijk,Patio/atrium en tuin rondom,2.055
van Hornstraat 5,Gilze,€ 449.000,313 m²,153 m²,1989,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,€ 3.343
Oranjeplein 34,Haarlem,€ 2.350.000,333 m²,246 m²,1915,Bestaande bouw,"Villa, vrijstaande woning",Samengesteld dak bedekt met pannen,9 kamers (6 slaapkamers),2 badkamers en 2 aparte toiletten,"3 woonlagen, een vliering en een kelder",G,"Aan park, in woonwijk en vrij uitzicht",Tuin rondom,2.200
Spoorlaan 10,Capelle aan den IJssel,€ 599.000,282 m²,204 m²,1999,Bestaande bouw,"Herenhuis, tussenwoning",Plat dak bedekt met bitumineuze dakbedekking,3 kamers (1 slaapkamer),1 badkamer en 2 aparte toiletten,2 woonlagen,A,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zonneterras",755
Dreef 5,Beverwijk,€ 729.000,395 m²,143 m²,1949,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,G,Beschutte ligging en in woonwijk,"Achtertuin, tuin rondom, voortuin en zijtuin",865
Lankforst 2407,Nijmegen,€ 600.000,804 m²,173 m²,1971,Bestaande bouw,"Bungalow, vrijstaande woning",Lessenaardak bedekt met bitumineuze dakbedekking,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,1 woonlaag en een vliering,E,"Aan park, aan rustige weg, aan water en in woonwijk","Achtertuin, voortuin en zijtuin",2.040
Putstraat 31,Eijsden,€ 695.000,1.580 m²,547 m²,1900,Bestaande bouw,"Eengezinswoning, geschakelde woning",Zadeldak bedekt met metaal en pannen,10 kamers (3 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen en een kelder,G,Aan rustige weg en in bosrijke omgeving,Achtertuin en plaats,755
de Horn 2 A,Baambrugge,€ 1.595.000,6.650 m²,241 m²,1974,Bestaande bouw,"Landhuis, vrijstaande woning",Zadeldak bedekt met pannen,8 kamers (7 slaapkamers),2 badkamers,3 woonlagen,C,"Buiten bebouwde kom, landelijk gelegen en vrij uitzicht",Tuin rondom,375
Koninginnestraat 24,IJzendijke,€ 675.000,622 m²,626 m²,1950,Bestaande bouw,"Herenhuis, hoekwoning",Schilddak bedekt met bitumineuze dakbedekking en pannen,11 kamers (9 slaapkamers),7 badkamers en 1 apart toilet,2 woonlagen en een zolder,A,Aan rustige weg en in centrum,Achtertuin,1.810
Vlaggestraat 7,Prinsenbeek,€ 579.000,318 m²,136 m²,1969,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,,Achtertuin en voortuin,11.035
Waterfront 21,Dronten,€ 319.500,103 m²,133 m²,2009,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak bedekt met bitumineuze dakbedekking,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,In centrum en vrij uitzicht,Achtertuin en voortuin,800
Lobelialaan 8,Ede,€ 324.000,115 m²,110 m²,2001,Bestaande bouw,"Eengezinswoning, tussenwoning",Lessenaardak bedekt met bitumineuze dakbedekking,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,2.735
Kerkakkers 13,Nuenen,€ 495.000,508 m²,132 m²,1972,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,D,In centrum,Achtertuin en voortuin,1.815
Lariksstraat 13,Putten,€ 497.500,313 m²,105 m²,1966,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,D,"Aan rustige weg, in woonwijk en open ligging","Achtertuin, voortuin en zijtuin",2.610
Goyerkamp 12,Zwolle,€ 500.000,174 m²,147 m²,1980,Bestaande bouw,"Eengezinswoning, geschakelde woning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,"Aan rustige weg, aan water, in woonwijk en vrij uitzicht",Achtertuin en voortuin,3.055
Achterkerkstraat 47,Veenendaal,€ 450.000,183 m²,114 m²,1988,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,,Achtertuin en voortuin,€ 3.239
