Adress,City,Price,Lot size (m2),Living space size (m2),Build year,Build type,House type,Roof,Rooms,Toilet,Floors,Energy label,Position,Garden,Estimated neighbourhood price per m2
Zr Persoonsstraat 5,Mariahout,€ 385.000,272 m²,165 m²,1973,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,7 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,B,"Aan rustige weg, in centrum en in woonwijk",Achtertuin en voortuin,1.135
Touwslagerstraat 4,Beverwijk,€ 395.000,100 m²,106 m²,1991,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,In centrum,Achtertuin,1.370
Zalkerbos 12,Hoofddorp,€ 695.000,258 m²,156 m²,1987,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,In woonwijk en vrij uitzicht,Achtertuin en voortuin,5.375
Engweg 4,Lunteren,€ 799.000,615 m²,171 m²,1915,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Samengesteld dak bedekt met pannen,5 kamers (4 slaapkamers),2 badkamers en 2 aparte toiletten,"2 woonlagen, een vliering en een kelder",E,Aan rustige weg en in bosrijke omgeving,Tuin rondom,1.200
Berkelstraat 18,Amersfoort,€ 400.000,101 m²,85 m²,1935,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,D,"Aan rustige weg, in woonwijk en vrij uitzicht",Achtertuin en voortuin,1.245
Oosterweg M 34,Purmer (Gem. Waterland),€ 550.000,704 m²,182 m²,1926,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,7 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,G,"Aan drukke weg, aan water, landelijk gelegen en vrij uitzicht","Achtertuin, voortuin, zijtuin en zonneterras",150
Van Leeuwenhoeklaan 65,Vlijmen,€ 525.000,396 m²,156 m²,1988,Bestaande bouw,"Eengezinswoning, geschakelde woning",Samengesteld dak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,In woonwijk,"Achtertuin, voortuin en zijtuin",
Bruntingerbrink 140,Emmen,€ 199.500,153 m²,108 m²,1983,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,,Achtertuin en voortuin,8.925
M.H. Trompstraat 9,Spijkenisse,€ 245.000,133 m²,75 m²,1958,Bestaande bouw,"Eengezinswoning, tussenwoning",Lessenaardak bedekt met bitumineuze dakbedekking,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,D,"Aan rustige weg, in centrum en in woonwijk",Achtertuin en voortuin,800
Voirt 19,Nuenen,€ 500.000,386 m²,126 m²,1960,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met bitumineuze dakbedekking en pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,In woonwijk,Achtertuin en voortuin,5.500
Marnelaan 9,Son en Breugel,€ 425.000,254 m²,128 m²,1990,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,"Aan rustige weg, beschutte ligging, in bosrijke omgeving en in woonwijk",Achtertuin en voortuin,4.400
Christinalaan 3,Vorden,€ 795.000,1.146 m²,207 m²,2000,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Schilddak bedekt met pannen,5 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen en een zolder,B,Aan rustige weg en in woonwijk,Tuin rondom,4.930
Kastanjedal 24,Maassluis,€ 550.000,199 m²,152 m²,1990,Bestaande bouw,"Herenhuis, tussenwoning",Plat dak bedekt met bitumineuze dakbedekking,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,2.055
De Genestetstraat 24,Etten-Leur,€ 265.000,165 m²,111 m²,1963,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,F,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.395
Millweg 30,Arnhem,€ 269.500,123 m²,106 m²,1980,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,D,Aan rustige weg en in woonwijk,Achtertuin en voortuin,5.980
Appelaarseweg 20,Fijnaart,€ 500.000,560 m²,134 m²,1955,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,E,Aan rustige weg,"Achtertuin, voortuin en zijtuin",4.785
Betsy Westendorpstraat 21,Apeldoorn,€ 450.000,167 m²,117 m²,1983,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,6.360
Juttestraat 5,Schoonoord,€ 300.000,436 m²,120 m²,1989,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen en een kelder,B,,Achtertuin en voortuin,2.005
